model_class,config,feature_set,step_template,ridge_alpha,event_shrink,step_shrink,residual_clip,train_full_mae,validation_full_mae,validation_tail_mae,validation_last2048_mae,validation_full_tail_score,validation_endpoint_abs_diff,step_smoothing,step_rolling_window,selected_by_811_full,selected_by_811_full_plus_tail
event_decay_only,drop_impulse_ridge0.01_shrink0.5_clip0.15,drop_impulse,none,0.01,0.5,,0.15,0.03233569670610617,0.04383030084160446,0.07884490144590255,0.06228358752591155,0.058025338359755305,0.05490096157485125,,,False,False
event_decay_only,drop_impulse_ridge0.0001_shrink0.5_clip0.15,drop_impulse,none,0.0001,0.5,,0.15,0.03233569673945087,0.04384810596168747,0.07893128929972179,0.06235412952544322,0.05807426567584892,0.05488577070015266,,,False,False
event_decay_only,drop_impulse_ridge1e-06_shrink0.5_clip0.15,drop_impulse,none,1e-06,0.5,,0.15,0.03233569673978525,0.04384828471705765,0.07893215659507878,0.06235483764662112,0.058074756866376684,0.054885618226026,,,False,False
event_decay_only,event_history_ridge1_shrink0.75_clip0.15,event_history,none,1.0,0.75,,0.15,0.03229385109724091,0.04390635935368569,0.07133911956282972,0.0400142375162718,0.051357763048946126,0.06919648354875774,,,False,False
event_decay_only,event_history_ridge1_shrink0.75_clip0.25,event_history,none,1.0,0.75,,0.25,0.03229385109724091,0.04390635935368569,0.07133911956282972,0.0400142375162718,0.051357763048946126,0.06919648354875774,,,False,False
event_decay_only,drop_impulse_ridge1_shrink0.5_clip0.25,drop_impulse,none,1.0,0.5,,0.25,0.03233570500287994,0.04486510185734902,0.08386674198879085,0.058499417494142975,0.05929245702414036,0.05600798875767188,,,False,False
event_decay_only,linear_endpoint_ridge0.01_shrink0.75_clip0.15,linear_endpoint,none,0.01,0.75,,0.15,0.03228014976208058,0.045565257814231444,0.034263103454793255,0.03351255412570399,0.039764070768694496,0.06316831585164628,,,False,False
event_decay_only,linear_endpoint_ridge0.01_shrink0.75_clip0.25,linear_endpoint,none,0.01,0.75,,0.25,0.03228014976208058,0.045565257814231444,0.034263103454793255,0.03351255412570399,0.039764070768694496,0.06316831585164628,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.75_clip0.15,linear_endpoint,none,0.0001,0.75,,0.15,0.03228013647893627,0.04576880131508891,0.03425872926952675,0.033513226474637225,0.039864664733329926,0.06316928735350702,,,False,False
event_decay_only,linear_endpoint_ridge0.0001_shrink0.75_clip0.25,linear_endpoint,none,0.0001,0.75,,0.25,0.03228013647893627,0.04576880131508891,0.03425872926952675,0.033513226474637225,0.039864664733329926,0.06316928735350702,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.75_clip0.15,linear_endpoint,none,1e-06,0.75,,0.15,0.03228013634516028,0.04577086525354763,0.03425868504797037,0.03351323322334458,0.03986568478583384,0.06316929712646857,,,False,False
event_decay_only,linear_endpoint_ridge1e-06_shrink0.75_clip0.25,linear_endpoint,none,1e-06,0.75,,0.25,0.03228013634516028,0.04577086525354763,0.03425868504797037,0.03351323322334458,0.03986568478583384,0.06316929712646857,,,False,False
event_decay_only,drop_impulse_ridge10_shrink1_clip0.15,drop_impulse,none,10.0,1.0,,0.15,0.032342454412387485,0.045796682826578575,0.05884400754036046,0.04554874554384186,0.0496612927841658,0.057943639687183524,,,False,False
event_decay_only,drop_impulse_ridge1_shrink0.75_clip0.15,drop_impulse,none,1.0,0.75,,0.15,0.032337663319391696,0.04653244930364247,0.08097593267003514,0.06393380111846911,0.060345764676525596,0.05483929782862029,,,False,False
event_decay_only,full_event_local_ridge10_shrink0.5_clip0.15,full_event_local,none,10.0,0.5,,0.15,0.03228884932069514,0.04706881751287734,0.08793165378215652,0.05544403165671762,0.061002711222429146,0.0628104831974361,,,False,False
event_decay_only,drop_impulse_ridge10_shrink1_clip0.25,drop_impulse,none,10.0,1.0,,0.25,0.032342454412387485,0.04715235899158899,0.0654220953077097,0.045709482032096696,0.052344704494526745,0.057943639687183524,,,False,False
event_decay_only,event_history_ridge1_shrink1_clip0.15,event_history,none,1.0,1.0,,0.15,0.03229493764573828,0.04727970368963464,0.08641707331706693,0.0444719338142997,0.058459360602797335,0.07280415662332107,,,False,False
