feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
sat_s2_tail,sat_s2;sat_tail,5.0,1.0,1e-06,1.0,0.00190368783337;0.00385476519397;-0.00616991599451,sat_s2_tail_scale5_beta1_ridge1e-06_shrink1,0.03752038001575678,0.04709927988079442,0.9291917496521731,0.04944182199921654,0.04005393228503776,0.05003583060411394,0.9174534201685492,0.03917240616007822
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,0.5,0.01,1.25,0.000270736506916;-0.0230080212221;0.0382366012571,mpl_proxy_scale5_beta0.5_ridge0.01_shrink1.25,0.03752253284477846,0.04684531120390751,0.9299533151595318,0.09070101038807854,0.03749899785149572,0.04693983621844305,0.9273526132623509,0.0708083934741297
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,1.0,1.0,0.00205266311234;0.0021323683441;-0.00440702183166,sat_s2_tail_scale5_beta2_ridge1_shrink1,0.037555171158874356,0.04713202542870364,0.929093257234588,0.05312127765631791,0.040005415364661415,0.049973665909717094,0.9176584050827787,0.04260698019714626
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,1.0,0.5,0.0001,0.25,0.000821548152256;-0.158153781391;0.711036246845;-0.0624519252225,hybrid_decay_progress_scale1_beta0.5_ridge0.0001_shrink0.25,0.0375849974135392,0.04697643804175175,0.929560624615957,0.09504126102485388,0.037677283598928205,0.047138833668376505,0.9267353427419958,0.0771239210093353
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,0.01,1.0,0.0020825893475;0.00216233357672;-0.00446608513786,sat_s2_tail_scale5_beta2_ridge0.01_shrink1,0.03758574670829444,0.047169606978336824,0.928980134674926,0.05304121205544776,0.04004289973361417,0.05001718801229167,0.9175149199175675,0.04255592024553545
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,0.0001,1.0,0.00208289269229;0.00216263733101;-0.00446668384023,sat_s2_tail_scale5_beta2_ridge0.0001_shrink1,0.03758605705668851,0.047169988673765435,0.92897898528788,0.05304040044384317,0.04004328011457958,0.05001762969438893,0.9175134631245941,0.042555402660594766
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,1e-06,1.0,0.00208289572615;0.00216264036897;-0.00446668982807,sat_s2_tail_scale5_beta2_ridge1e-06_shrink1,0.037586060160596416,0.04716999249131667,0.928978973792165,0.05304039232661628,0.040043283918908795,0.05001763411186545,0.9175134485544372,0.04255539748403736
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,0.5,0.0001,1.25,0.000283945205449;-0.0234563691369;0.0389685181774,mpl_proxy_scale5_beta0.5_ridge0.0001_shrink1.25,0.03759295642865589,0.046930932665934906,0.9296970256665901,0.09130559035016139,0.03752089604456004,0.04696379390110738,0.927278437153669,0.07127609060295592
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,0.5,1e-06,1.25,0.000284079859337;-0.0234609397341;0.038975979563,mpl_proxy_scale5_beta0.5_ridge1e-06_shrink1.25,0.03759367804396924,0.04693181275793939,0.9296943888698235,0.09131175290586091,0.037521123164208095,0.046964041747069515,0.9272776695924575,0.07128085802376516
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,2.0,0.5,0.01,0.25,0.00093363482257;-0.120670697158;0.350171489493;-0.0352987409078,hybrid_decay_progress_scale2_beta0.5_ridge0.01_shrink0.25,0.03759798108635348,0.04697298909785154,0.9295709673556786,0.09406946039915498,0.0376116822448862,0.047060015122356774,0.9269801424362439,0.07549699230300222
